na,Timestamp,lat,long,obs1,Obs1_bird_dist,shooter,Shoot_bird_dist,obs2,Obs2_bird_dist,hwk,Habitat_Primary,Habitat_Under_Dom1,Habitat_Under_Dom2,Basal Area 10m,Dbh_largest,AudioID,VisualID,SocialGroup,Target,Spp,Scientific,BirdTree,Angle,Sex,Proximity,Audio_React,Flight_dist,Flight_apex,Flight_proximity,Pre_Bird_Height,Forage_Tree_height,Veg_dense_under,Veg_under_height,Pre_Bird_Dense,Pre_Vocal,Pre_Behav,Mid_Vocal,"Mid ,Behav",Post_Vocal,Post_Behav,Freeze_Time_sec,Post_Dist (Dive_Dist),Post_Bird_Height,Post_Bird_Dense,Veg_mid_low,Veg_mid_high,Veg_can_low,Veg_can_high,5m_dense,Rad_01,Rad_02,Rad_03,Rad_04,Rad_05,Rad_06,Rad_07,Rad_08,Rad_09,Rad_10,Notes,Behav_notes,Veg_dense_mid,Veg_under_low,Veg_notes,zoom_wav,voice_record_wav,Rec_reviewed,Recording_Notes,selection,call_type,AlarmExport,alarm,flock
44,230711-103129,-12.53275,-69.00261,vw,10,am,12,na,na,0,na,na,na,na,na,na,0,solo,0,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,na,u,na,na,16,4,4,0,na,3213,na,3212,sing,u,sing,u,sing,u,na,0,0,3212,6.5,8.3,18.1,na,na,na,na,na,na,na,na,na,na,na,na,"no change, just kept singing even with KLONK",na,na,na,na,20230711_103129_hwk_myhy_000.wav,na,na,na,na,na,na,0,
45,230713-110620,-12.53399,-69.00868,vw,6,vr,6,na,na,1,na,na,na,na,na,na,1,lek,1,pifa,Pipra fasciicauda,Pipra fasciicauda,na,m,na,q,7,3,4,4,6,1112,na,2222,sing,display,quiet,dv,call,hop,na,11,3,1222,7.3,13.4,28,32,3123,na,na,na,na,na,na,na,na,na,na,"turned head toward hawk, then immediately flew away",na,na,na,dense lianas,20230713_110620_HWK_PIFA.wav,na,na,na,na,na,na,0,na
46,230713-110620,-12.53399,-69.00868,vw,6,vr,6,na,na,1,na,na,na,na,na,na,1,lek,1,pifa,Pipra fasciicauda,Pipra fasciicauda,na,m,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7.3,13.4,28,32,3123,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
47,230713-120324,-12.53215,-69.01197,vw,14,vr,14,na,na,1,na,na,na,na,na,na,1,pair,1,haru,Habia rubica,Habia rubica,na,m,na,c,13,3,3,3,5,2222,na,1112,call,Sally_hover,call,forage,call,Sally_hover,na,0,3,1112,4.2,9.4,22.1,30.3,1111,na,na,na,na,na,na,na,na,na,na,"pretty much no reaction, but far way for shot, and short collision. Hawk didn’t pass very near to visual line of sight and was probably just a noise to the bird",na,na,na,na,20230713_120324_HARU.wav,na,na,na,na,na,na,0,na
48,230713-120324,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,1,pair,1,haru,Habia rubica,Habia rubica,na,f,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4.2,9.4,22.1,30.3,1111,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
49,230714-095946,-12.52668,-69.01631,vw,13,vw,13,na,na,1,na,na,na,na,na,na,1,pair,1,moni,Monasa nigrifrons,Monasa nigrifrons,na,u,na,a,18,5,2,7,18,1000,na,1111,quiet,sit,alarm,dv,call,sit,na,16,9,3342,5,7,7,18,na,2,2,3,1,1,na,na,na,na,na,"shot at one of the pair, the target fled, but the other alarmed with a whistle",na,na,na,na,20230714_095946_hwk_moni.wav,na,na,na,na,na,20230714_095946_Monasa_nigrifrons_u_a.wav,1,na
50,230714-095946,-12.52668,-69.01631,vw,13,vw,13,na,na,1,na,na,na,na,na,na,1,pair,1,moni,Monasa nigrifrons,Monasa nigrifrons,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,7,7,18,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
51,230714-103934,-12.52753,-69.01651,vw,10,vw,10,na,na,1,na,na,na,na,na,na,1,solo,1,mepi,Megarynchus pitangua,Megarynchus pitangua,na,u,na,q,22,7,1,7,7,3322,na,0011,call,Sally_strike,quiet,dv,call,flee,na,100,na,0000,3,3,3,7,na,3,1,2,2,1,na,na,na,na,na,"flew away >100m, called once, but no noticeable difference in intensity, but possibly, hard to say from a one off.",na,na,na,na,20230714_103934_hwk_mepi.wav,na,na,na,na,na,na,0,na
52,230714-110821,-12.52801,-69.01607,vw,12,vw,12,na,na,1,na,na,na,na,na,na,1,solo,1,euri,Eubucco richardsoni,Eubucco richardsoni,na,f,na,q,8.7,11,1,10,16,2223,na,1110,quiet,probe,quiet,dv,quiet,u,na,8,10,3422,6.7,18.8,22.1,26,na,4,3,3,2,1,na,na,na,na,na,probing dead leaf w/o calling and flew off w/o calling,"flew in the direction of the male, male started singing shortly after the trial",na,na,na,20230714_110821_HWK_EUBI.wav,na,na,na,na,na,na,0,na
53,230714-115439,-12.529242,-69.01571,vw,12,vw,12,na,na,1,na,na,na,na,na,na,1,solo,1,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,na,m,na,q,22,3,3,0,2,3333,na,3333,call,glean,quiet,fz,quiet,freeze,na,0,0,3333,5,14,28,33,na,4,3,2,1,1,na,na,na,na,na,"moved head in direction of hwk. Froze until 1208, when it started to move it’s head again, but not body and seemed to VS actively. 1212 turned around on the branch with a hop. 1213 it began foraging again.",na,na,na,na,20230714_115439_HWK_MYHY.wav,na,na,na,na,na,na,0,na
